season,fpl_game_week,team,opponent,team_goals,opponent_goals,pred_goals_scored,pred_goals_conceded
2017-2018,6,Watford,Swansea City,2.0,1.0,1.2132215761331435,1.5455294231246246
2017-2018,6,Swansea City,Watford,1.0,2.0,1.5455294231246246,1.2132215761331435
2017-2018,6,Burnley,Huddersfield,0.0,0.0,1.5341396274696255,0.8825623999816485
2017-2018,6,Huddersfield,Burnley,0.0,0.0,0.8825623999816485,1.5341396274696255
2017-2018,6,Crystal Palace,Manchester City,0.0,5.0,0.38997813845747675,2.447532351510324
2017-2018,6,Manchester City,Crystal Palace,5.0,0.0,2.447532351510324,0.38997813845747675
2017-2018,6,Leicester City,Liverpool,2.0,3.0,1.4267607224717063,1.868527603820917
2017-2018,6,Liverpool,Leicester City,3.0,2.0,1.868527603820917,1.4267607224717063
2017-2018,6,Manchester Utd,Southampton,1.0,0.0,2.0685368438107514,1.1090213691329873
2017-2018,6,Southampton,Manchester Utd,0.0,1.0,1.1090213691329873,2.0685368438107514
2017-2018,6,Tottenham,West Ham,3.0,2.0,1.9890575869902232,0.9373135238537503
2017-2018,6,West Ham,Tottenham,2.0,3.0,0.9373135238537503,1.9890575869902232
2017-2018,6,Stoke City,Chelsea,0.0,4.0,0.9722644919352742,1.8146680290755413
2017-2018,6,Chelsea,Stoke City,4.0,0.0,1.8146680290755413,0.9722644919352742
2017-2018,6,Bournemouth,Everton,1.0,2.0,0.9404289118931409,1.7815172263038588
2017-2018,6,Everton,Bournemouth,2.0,1.0,1.7815172263038588,0.9404289118931409
2017-2018,6,Brighton,Newcastle Utd,1.0,0.0,1.1278085098853952,1.2637190609422224
2017-2018,6,Newcastle Utd,Brighton,0.0,1.0,1.2637190609422224,1.1278085098853952
2017-2018,6,West Brom,Arsenal,0.0,2.0,0.8317221038568127,1.9506333320942062
2017-2018,6,Arsenal,West Brom,2.0,0.0,1.9506333320942062,0.8317221038568127
2017-2018,7,Manchester City,Chelsea,1.0,0.0,1.650853685743824,1.5868234549119618
2017-2018,7,Chelsea,Manchester City,0.0,1.0,1.5868234549119618,1.650853685743824
2017-2018,7,Tottenham,Huddersfield,4.0,0.0,1.9462045490857869,0.4462008053503633
2017-2018,7,Huddersfield,Tottenham,0.0,4.0,0.4462008053503633,1.9462045490857869
2017-2018,7,Southampton,Stoke City,1.0,2.0,1.2845587955997575,1.519848565582202
2017-2018,7,Stoke City,Southampton,2.0,1.0,1.519848565582202,1.2845587955997575
2017-2018,7,Swansea City,West Ham,0.0,1.0,1.0759223924923764,1.5650185030676078
2017-2018,7,West Ham,Swansea City,1.0,0.0,1.5650185030676078,1.0759223924923764
2017-2018,7,Manchester Utd,Crystal Palace,4.0,0.0,2.771534720408091,0.5154077904652367
2017-2018,7,Crystal Palace,Manchester Utd,0.0,4.0,0.5154077904652367,2.771534720408091
2017-2018,7,Leicester City,Bournemouth,0.0,0.0,1.6336236724469226,1.261886460044466
2017-2018,7,Bournemouth,Leicester City,0.0,0.0,1.261886460044466,1.6336236724469226
2017-2018,7,Watford,West Brom,2.0,2.0,1.0348786600608373,1.5160969440778376
2017-2018,7,West Brom,Watford,2.0,2.0,1.5160969440778376,1.0348786600608373
2017-2018,7,Liverpool,Newcastle Utd,1.0,1.0,1.7101205388990173,1.304079765007123
2017-2018,7,Newcastle Utd,Liverpool,1.0,1.0,1.304079765007123,1.7101205388990173
2017-2018,7,Everton,Burnley,0.0,1.0,1.7823601166700778,0.9583557539183243
2017-2018,7,Burnley,Everton,1.0,0.0,0.9583557539183243,1.7823601166700778
2017-2018,7,Arsenal,Brighton,2.0,0.0,2.201323435953599,0.5884662228332281
2017-2018,7,Brighton,Arsenal,0.0,2.0,0.5884662228332281,2.201323435953599
2017-2018,8,Manchester Utd,Liverpool,0.0,0.0,1.8440466582575068,1.674346319798751
2017-2018,8,Liverpool,Manchester Utd,0.0,0.0,1.674346319798751,1.8440466582575068
2017-2018,8,Bournemouth,Tottenham,0.0,1.0,0.3714929053062841,2.377974927225421
2017-2018,8,Tottenham,Bournemouth,1.0,0.0,2.377974927225421,0.3714929053062841
2017-2018,8,West Ham,Burnley,1.0,1.0,1.1754448602802143,1.2353389230418663
2017-2018,8,Burnley,West Ham,1.0,1.0,1.2353389230418663,1.1754448602802143
2017-2018,8,Chelsea,Crystal Palace,1.0,2.0,2.1200122876431537,0.8480376972917255
2017-2018,8,Crystal Palace,Chelsea,2.0,1.0,0.8480376972917255,2.1200122876431537
2017-2018,8,Swansea City,Huddersfield,2.0,0.0,1.521081938363485,0.5579155146719442
2017-2018,8,Huddersfield,Swansea City,0.0,2.0,0.5579155146719442,1.521081938363485
2017-2018,8,Stoke City,Manchester City,2.0,7.0,0.5744716612314933,2.6302923281754484
2017-2018,8,Manchester City,Stoke City,7.0,2.0,2.6302923281754484,0.5744716612314933
2017-2018,8,Watford,Arsenal,2.0,1.0,1.0779657558636848,1.985179378222163
2017-2018,8,Arsenal,Watford,1.0,2.0,1.985179378222163,1.0779657558636848
2017-2018,8,Brighton,Everton,1.0,1.0,1.1649070977447191,1.395833935875191
2017-2018,8,Everton,Brighton,1.0,1.0,1.395833935875191,1.1649070977447191
2017-2018,8,Newcastle Utd,Southampton,2.0,2.0,1.244617864330953,1.4050351173819402
2017-2018,8,Southampton,Newcastle Utd,2.0,2.0,1.4050351173819402,1.244617864330953
2017-2018,8,Leicester City,West Brom,1.0,1.0,1.661012134896722,1.1044024770131735
2017-2018,8,West Brom,Leicester City,1.0,1.0,1.1044024770131735,1.661012134896722
2017-2018,9,Brighton,West Ham,3.0,0.0,0.6789424479377059,1.6380905227249811
2017-2018,9,West Ham,Brighton,0.0,3.0,1.6380905227249811,0.6789424479377059
2017-2018,9,Chelsea,Watford,4.0,2.0,2.2470302834745963,0.7635009809246154
2017-2018,9,Watford,Chelsea,2.0,4.0,0.7635009809246154,2.2470302834745963
2017-2018,9,Burnley,Manchester City,0.0,3.0,0.34594811968718475,2.6948061743846505
2017-2018,9,Manchester City,Burnley,3.0,0.0,2.6948061743846505,0.34594811968718475
2017-2018,9,Manchester Utd,Huddersfield,1.0,2.0,2.2061998812655563,0.5062394904270727
2017-2018,9,Huddersfield,Manchester Utd,2.0,1.0,0.5062394904270727,2.2061998812655563
2017-2018,9,Swansea City,Leicester City,1.0,2.0,1.2610015623774342,1.2386645080742775
2017-2018,9,Leicester City,Swansea City,2.0,1.0,1.2386645080742775,1.2610015623774342
2017-2018,9,Bournemouth,Stoke City,2.0,1.0,1.2825075640099435,1.6597884002400969
2017-2018,9,Stoke City,Bournemouth,1.0,2.0,1.6597884002400969,1.2825075640099435
2017-2018,9,Newcastle Utd,Crystal Palace,1.0,0.0,1.7933631547598374,1.0238445048766336
2017-2018,9,Crystal Palace,Newcastle Utd,0.0,1.0,1.0238445048766336,1.7933631547598374
2017-2018,9,West Brom,Southampton,0.0,1.0,1.1378171583737609,1.485836359347314
2017-2018,9,Southampton,West Brom,1.0,0.0,1.485836359347314,1.1378171583737609
2017-2018,9,Arsenal,Everton,5.0,2.0,1.7554105120773882,1.2636652998795577
2017-2018,9,Everton,Arsenal,2.0,5.0,1.2636652998795577,1.7554105120773882
2017-2018,9,Tottenham,Liverpool,4.0,1.0,1.9766860396242227,1.0516353819174042
2017-2018,9,Liverpool,Tottenham,1.0,4.0,1.0516353819174042,1.9766860396242227
2017-2018,10,Manchester City,West Brom,3.0,2.0,2.4507146900864605,0.6926968217643585
2017-2018,10,West Brom,Manchester City,2.0,3.0,0.6926968217643585,2.4507146900864605
2017-2018,10,Chelsea,Bournemouth,1.0,0.0,1.8378295337544674,1.054412203226487
2017-2018,10,Bournemouth,Chelsea,0.0,1.0,1.054412203226487,1.8378295337544674
2017-2018,10,Huddersfield,Liverpool,0.0,3.0,0.3492819379421932,2.1850825546279946
2017-2018,10,Liverpool,Huddersfield,3.0,0.0,2.1850825546279946,0.3492819379421932
2017-2018,10,West Ham,Crystal Palace,2.0,2.0,1.2974057431589983,1.2235846869210676
2017-2018,10,Crystal Palace,West Ham,2.0,2.0,1.2235846869210676,1.2974057431589983
2017-2018,10,Watford,Stoke City,0.0,1.0,1.7938848194762578,1.3970612345622884
2017-2018,10,Stoke City,Watford,1.0,0.0,1.3970612345622884,1.7938848194762578
2017-2018,10,Arsenal,Swansea City,2.0,1.0,2.247625099935352,0.6196163240959774
2017-2018,10,Swansea City,Arsenal,1.0,2.0,0.6196163240959774,2.247625099935352
