count,team,fpl_gw,date,scored,conceded
1,Arsenal,22,2019-01-12,1.9413668871990999,1.5075207677013982
1,Arsenal,23,2019-01-19,1.5855564101239974,1.6752881571644287
1,Arsenal,24,2019-01-29,2.529937716286512,0.796096259468241
1,Arsenal,25,2019-02-03,1.2809902446195636,2.3751329871573126
1,Arsenal,26,2019-02-09,2.191866543625933,0.9774325140127249
1,Arsenal,27,2019-02-24,2.2681239674543425,0.9678001522651946
1,Arsenal,28,2019-02-27,2.2791745382231694,1.0405399797382402
1,Arsenal,29,2019-03-02,1.2545851783454491,2.11097776634214
1,Arsenal,30,2019-03-10,1.836819866828995,1.7864384373199298
1,Arsenal,32,2019-04-01,2.2784609828449223,0.8083881931074113
1,Arsenal,33,2019-04-07,1.7863807483221965,1.457650883379637
1,Arsenal,34,2019-04-15,1.8501408187809747,1.4358335882294155
2,Arsenal,35,2019-04-24,3.674615357665127,2.32970387262531
1,Arsenal,36,2019-04-28,1.6199466682908863,1.460574522474913
1,Arsenal,37,2019-05-05,1.9327338240403562,0.8759371008487439
1,Arsenal,38,2019-05-12,1.7741556798791185,1.395501419117755
1,Bournemouth,22,2019-01-13,1.1795523667417038,1.7248543561660097
1,Bournemouth,23,2019-01-19,1.6166981558993065,1.3276784825323416
1,Bournemouth,24,2019-01-30,0.8962849747061398,1.8600485761134362
1,Bournemouth,25,2019-02-02,1.4760635767505903,1.345459382535313
1,Bournemouth,26,2019-02-09,0.5191025498955842,2.7197297100365323
1,Bournemouth,27,2019-02-23,1.4620100657455608,1.1806571784698559
1,Bournemouth,28,2019-02-27,1.0405399797382402,2.2791745382231694
1,Bournemouth,29,2019-03-02,0.935710749860429,2.174679938528915
1,Bournemouth,30,2019-03-09,1.481984344748734,1.1415821695023913
1,Bournemouth,31,2019-03-16,1.602930056399959,1.006889121029313
1,Bournemouth,32,2019-03-30,0.9650265053052642,1.679686213856156
1,Bournemouth,33,2019-04-06,1.4907084754980076,1.256880660867381
1,Bournemouth,34,2019-04-13,0.9063407024502227,1.452781241861604
1,Bournemouth,35,2019-04-20,1.6235571403972038,0.9855456170561454
1,Bournemouth,36,2019-04-27,1.159287792026844,1.4622012394406896
1,Bournemouth,37,2019-05-04,0.8818246656405261,1.8830436997679536
1,Bournemouth,38,2019-05-12,0.8821542024889809,1.5666593134585989
1,Brighton,22,2019-01-12,0.8084156834479641,2.0979996000594667
1,Brighton,23,2019-01-19,0.7351371746731775,2.1061551724737884
1,Brighton,24,2019-01-29,1.2317566471185848,1.141112696720338
1,Brighton,25,2019-02-02,1.4914040438341796,1.04008542412004
1,Brighton,26,2019-02-09,1.4360296683916647,1.020364018467721
1,Brighton,28,2019-02-26,0.8897369347395799,1.4225588079971547
1,Brighton,29,2019-03-02,1.7506867148417729,0.49924129606598455
1,Brighton,30,2019-03-09,0.8343456498690849,1.337012925545386
2,Brighton,32,2019-03-30,1.8225505717642503,2.725551949998758
2,Brighton,34,2019-04-13,3.128844643840762,1.5407566666846582
2,Brighton,35,2019-04-20,1.367866619208331,3.1824679119456762
1,Brighton,36,2019-04-27,1.465808195456251,0.687929424792288
1,Brighton,37,2019-05-05,0.8759371008487439,1.9327338240403562
1,Brighton,38,2019-05-12,0.7711078709709328,1.8282392243461012
1,Burnley,22,2019-01-12,1.7719317288469374,1.0031453160184416
1,Burnley,23,2019-01-19,1.3023737173264036,1.631323451654272
1,Burnley,24,2019-01-29,0.8900987888241245,2.3121797324306153
1,Burnley,25,2019-02-02,1.6585245756217477,1.1014577253120272
1,Burnley,26,2019-02-09,1.020364018467721,1.4360296683916647
1,Burnley,27,2019-02-23,1.0095884906309185,1.8800326352709087
1,Burnley,28,2019-02-26,1.3179993958671576,1.3203889792452026
1,Burnley,29,2019-03-02,1.3676504771109903,1.1921752903570424
1,Burnley,30,2019-03-10,0.5506828120757175,2.620535082729228
1,Burnley,31,2019-03-16,1.395560744035697,1.2502401548630226
1,Burnley,32,2019-03-30,1.486720073439247,1.0745922966761046
1,Burnley,33,2019-04-06,1.256880660867381,1.4907084754980076
1,Burnley,34,2019-04-13,1.8378952706165523,0.8473107786777089
1,Burnley,35,2019-04-22,0.5151707513630792,2.0773648715190665
1,Burnley,36,2019-04-28,0.946680248581221,2.054874547762269
1,Burnley,37,2019-05-03,1.1355598295709193,1.5500869295077875
1,Burnley,38,2019-05-12,1.395501419117755,1.7741556798791185
1,Cardiff City,22,2019-01-12,1.6296243465425875,1.0552236613934578
1,Cardiff City,23,2019-01-19,1.0213646499576838,1.649736021156508
1,Cardiff City,24,2019-01-29,0.796096259468241,2.529937716286512
1,Cardiff City,25,2019-02-02,1.345459382535313,1.4760635767505903
1,Cardiff City,26,2019-02-09,0.9560655986755274,1.7541859444227148
1,Cardiff City,27,2019-02-22,1.3085093851569705,1.5342354990694895
1,Cardiff City,28,2019-02-26,1.2310088057252981,1.5423122852468172
1,Cardiff City,29,2019-03-02,0.811742114438815,1.7548015337325802
1,Cardiff City,30,2019-03-09,1.2966816362783897,1.5028688612447663
2,Cardiff City,32,2019-04-03,0.847970744666012,4.770322739644605
2,Cardiff City,34,2019-04-13,1.4817267429121443,3.5139586725957104
1,Cardiff City,35,2019-04-21,0.5499482254198372,2.5165768756579983
1,Cardiff City,36,2019-04-27,0.980159443576905,1.5665602268053167
1,Cardiff City,37,2019-05-04,0.9817024228777047,1.432209023944536
1,Cardiff City,38,2019-05-12,0.4629292076721565,2.5109919390994264
1,Chelsea,22,2019-01-12,2.2651592517719354,0.3407520108759292
1,Chelsea,23,2019-01-19,1.6752881571644287,1.5855564101239974
1,Chelsea,24,2019-01-30,1.8600485761134362,0.8962849747061398
1,Chelsea,25,2019-02-02,2.4813352262929866,0.08336133728515471
1,Chelsea,26,2019-02-10,1.1921157141956593,1.8319240055749124
1,Chelsea,28,2019-02-27,1.544053861012503,1.2169065896145699
1,Chelsea,29,2019-03-03,1.9005728681917748,0.6634004475614846
1,Chelsea,30,2019-03-10,2.0417962072801727,0.4320770144791072
1,Chelsea,31,2019-03-17,1.7181169813576331,0.9350526652565784
2,Chelsea,32,2019-03-31,3.913449520874548,0.943347846783802
1,Chelsea,33,2019-04-08,2.148392516028789,0.5310065371364633
1,Chelsea,34,2019-04-14,1.0645374189979606,1.9367982736135478
1,Chelsea,35,2019-04-22,2.0773648715190665,0.5151707513630792
1,Chelsea,36,2019-04-28,1.3489913598547911,1.5734808874233586
1,Chelsea,37,2019-05-05,2.1121284835022403,0.5142813935560571
1,Chelsea,38,2019-05-12,1.5242018833805346,0.9104952864060659
1,Crystal Palace,22,2019-01-12,1.653373896836304,1.0639907055639277
1,Crystal Palace,23,2019-01-19,0.5783018143862361,2.45902656767563
1,Crystal Palace,24,2019-01-30,1.2803193468955196,1.2633303874578115
1,Crystal Palace,25,2019-02-02,1.7308481862929852,0.772934256100373
1,Crystal Palace,26,2019-02-09,1.634675893471276,1.025753813252757
1,Crystal Palace,27,2019-02-23,1.0379662787688102,1.4327235804681482
1,Crystal Palace,28,2019-02-27,1.2067476959017895,1.7104957139080352
1,Crystal Palace,29,2019-03-02,1.1921752903570424,1.3676504771109903
1,Crystal Palace,30,2019-03-09,1.337012925545386,0.8343456498690849
2,Crystal Palace,32,2019-04-03,2.461596775911223,2.4826088210892
1,Crystal Palace,33,2019-04-06,1.2631753443403113,1.0764374103542398
1,Crystal Palace,34,2019-04-14,0.9399479784595043,1.8590147602764362
1,Crystal Palace,35,2019-04-21,1.0310366993644213,1.9497688509977968
